City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,sturgeon bay,44.8342,-87.377,12.2,71,100,5.66,US,2024-06-10 02:45:39
358,tabou,4.423,-7.3528,24.85,92,100,2.49,CI,2024-06-10 02:48:15
359,kavieng,-2.5744,150.7967,29.04,77,100,4.8,PG,2024-06-10 02:48:16
360,arauco,-37.2463,-73.3175,12.36,92,97,5.92,CL,2024-06-10 02:44:15
361,martaban,16.5314,97.6111,28.72,77,100,0.47,MM,2024-06-10 02:48:16
362,nahiyat al fuhud,30.9697,46.7228,36.71,21,100,6.77,IQ,2024-06-10 02:48:16
363,papao,-17.75,-149.55,25.82,94,100,6.64,PF,2024-06-10 02:48:16
364,kavalerovo,44.2661,135.0572,18.64,48,65,3.33,RU,2024-06-10 02:48:17
365,tsaratanana,-16.7833,47.65,18.61,77,8,5.19,MG,2024-06-10 02:48:17
366,east london,-33.0153,27.9116,14.64,52,5,2.5,ZA,2024-06-10 02:48:17
367,tabas,33.5959,56.9244,24.12,17,0,1.03,IR,2024-06-10 02:48:17
368,leava,-14.3,-178.1667,26.85,75,100,8.76,WF,2024-06-10 02:48:17
369,shalqar,47.8333,59.6,22.76,54,7,5.44,KZ,2024-06-10 02:48:18
370,buinsk,54.95,48.2833,17.81,71,61,1.25,RU,2024-06-10 02:48:18
371,vorgashor,67.5833,63.95,2.11,96,100,2.76,RU,2024-06-10 02:48:18
372,itamaraca,-7.7478,-34.8256,27.03,82,2,5.06,BR,2024-06-10 02:48:18
373,lagos,6.5833,3.75,26.18,94,100,1.24,NG,2024-06-10 02:47:54
374,mahina,-17.5065,-149.489,25.87,83,75,4.63,PF,2024-06-10 02:46:18
375,starobaltachevo,56.0013,55.9213,16.73,87,2,2.08,RU,2024-06-10 02:48:19
376,imeni morozova,59.9757,31.0376,11.06,1,99,2.16,RU,2024-06-10 02:48:19
377,colonia,50.9333,6.95,10.51,84,0,1.03,DE,2024-06-10 02:48:19
378,altagracia de orituco,9.8601,-66.3814,23.36,95,73,1.33,VE,2024-06-10 02:48:20
379,road town,18.4167,-64.6167,29.02,74,20,5.14,VG,2024-06-10 02:48:20
380,mar del plata,-38.0023,-57.5575,14.49,93,40,4.12,AR,2024-06-10 02:48:20
381,tarnobrzeg,50.573,21.6794,18.31,93,98,2.88,PL,2024-06-10 02:48:20
382,mariental,-24.6333,17.9667,11.39,66,32,7.15,NA,2024-06-10 02:48:20
383,lerwick,60.1545,-1.1494,9.0,78,100,9.65,GB,2024-06-10 02:48:21
384,tralee,52.2704,-9.7026,10.23,94,99,2.68,IE,2024-06-10 02:48:21
385,urazovo,50.0836,38.0395,18.22,81,60,1.61,RU,2024-06-10 02:48:21
386,castro alves,-12.7656,-39.4283,19.82,98,42,1.8,BR,2024-06-10 02:48:21
387,akdepe,42.0551,59.3788,27.05,27,17,4.31,TM,2024-06-10 02:48:21
388,murray bridge,-35.1167,139.2667,16.85,37,100,4.26,AU,2024-06-10 02:48:22
389,kapa'a,22.0752,-159.319,29.99,71,20,6.17,US,2024-06-10 02:48:22
390,snyder,32.7179,-100.9176,30.19,45,40,5.66,US,2024-06-10 02:48:22
391,portland,45.5234,-122.6762,22.99,62,20,6.69,US,2024-06-10 02:42:20
392,morris,40.8334,-74.5329,20.56,76,40,0.0,US,2024-06-10 02:48:22
393,guaratinga,-16.5667,-39.5667,21.68,71,100,1.89,BR,2024-06-10 02:48:23
394,alesund,62.4723,6.1549,11.53,88,100,6.69,NO,2024-06-10 02:48:23
395,batticaloa,7.7102,81.6924,28.92,72,54,0.52,LK,2024-06-10 02:48:23
396,skeldon,5.8833,-57.1333,25.21,89,70,1.18,GY,2024-06-10 02:48:23
397,ulladulla,-35.35,150.4667,14.48,59,3,4.31,AU,2024-06-10 02:48:24
398,darwin,-12.4611,130.8418,28.86,49,20,4.12,AU,2024-06-10 02:47:10
399,la paz,-16.5,-68.15,8.65,36,89,2.57,BO,2024-06-10 02:46:35
400,lubango,-14.9172,13.4925,13.92,67,20,2.06,AO,2024-06-10 02:48:24
401,ketchikan,55.3422,-131.6461,14.26,30,20,5.14,US,2024-06-10 02:47:40
402,happy valley-goose bay,53.3168,-60.3315,14.17,82,40,7.72,CA,2024-06-10 02:48:24
403,cill airne,52.05,-9.5167,10.33,93,100,3.3,IE,2024-06-10 02:48:25
404,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,5.13,RU,2024-06-10 02:48:25
405,nguigmi,14.2495,13.1092,28.92,15,35,2.41,NE,2024-06-10 02:48:25
406,stornoway,58.2093,-6.3865,7.98,88,75,3.09,GB,2024-06-10 02:48:25
407,eraan,9.0629,117.7016,33.04,56,95,3.05,PH,2024-06-10 02:48:26
408,sarakhs,36.5449,61.1577,32.24,14,0,1.67,IR,2024-06-10 02:48:26
409,krasnyy yar,46.5331,48.3456,23.96,41,30,2.86,RU,2024-06-10 02:48:26
410,fortuna,40.5982,-124.1573,13.85,93,100,4.12,US,2024-06-10 02:48:26
411,nantucket,41.2835,-70.0995,17.03,98,0,4.63,US,2024-06-10 02:48:26
412,susuman,62.7833,148.1667,10.55,36,100,0.89,RU,2024-06-10 02:48:27
413,buka,40.8108,69.1986,29.44,27,16,4.08,UZ,2024-06-10 02:48:27
414,manta,-0.95,-80.7333,22.88,78,75,5.66,EC,2024-06-10 02:48:27
415,isangel,-19.55,169.2667,28.06,74,75,3.09,VU,2024-06-10 02:48:27
416,hasaki,35.7333,140.8333,22.94,76,89,3.32,JP,2024-06-10 02:48:28
417,mcalester,34.9334,-95.7697,26.05,78,75,4.22,US,2024-06-10 02:48:28
418,kalat,29.0225,66.5916,22.8,9,0,0.91,PK,2024-06-10 02:48:28
